original_taxon,clean_species,relative_abundance,sample_id,source,category,macrocategory,country
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_cypripedii|t__SGB10171,pantoea_cypripedii,0.89271,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cancerogenus|t__SGB10181,enterobacter_cancerogenus,0.1556,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_rodasii|t__SGB10178,pantoea_rodasii,0.02605,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Tatumella|s__Tatumella_SGB21203|t__SGB21203,tatumella_sgb21203,0.57691,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium|s__Chryseobacterium_gleum|t__SGB2576,chryseobacterium_gleum,0.00798,SRR8742577,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985,lactococcus_lactis,0.40403,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_coffeiphila|t__SGB23192,pantoea_coffeiphila,0.08975,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides|t__SGB69408,leuconostoc_pseudomesenteroides,0.00916,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae|g__Pantoea|s__Pantoea_dispersa|t__SGB10172,pantoea_dispersa,0.00996,SRR8742578,cfmd_food,fermented_seeds,food,BRA
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_japonicus|t__SGB1161,gluconobacter_japonicus,0.04151,SRR8742578,cfmd_food,fermented_seeds,food,BRA
