original_taxon,clean_species,sample_id,relative_abundance,source
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__Lachnospiraceae bacterium 7_1_58FAA,lachnospiraceae_bacterium_7_1_58faa,MCT.f.0002,40,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus comes,coprococcus_comes,MCT.f.0002,90,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;NA;NA,,MCT.f.0002,131,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus lactaris,ruminococcus_lactaris,MCT.f.0002,9,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Butyricimonas;s__Butyricimonas virosa,butyricimonas_virosa,MCT.f.0002,13,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;NA,prevotella,MCT.f.0002,517,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__[Eubacterium] eligens,[eubacterium]_eligens,MCT.f.0002,13,johnson_gut
k__Bacteria;NA;NA;NA;NA;NA;NA,,MCT.f.0002,153,johnson_gut
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus rogosae,lactobacillus_rogosae,MCT.f.0002,41,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium;s__[Clostridium] leptum,[clostridium]_leptum,MCT.f.0002,16,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__Ruminococcaceae bacterium D16,ruminococcaceae_bacterium_d16,MCT.f.0002,34,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides clarus,bacteroides_clarus,MCT.f.0002,18,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella;s__Paraprevotella xylaniphila,paraprevotella_xylaniphila,MCT.f.0002,5,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis,bacteroides_intestinalis,MCT.f.0002,51,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__Intestinimonas;s__Intestinimonas butyriciproducens,intestinimonas_butyriciproducens,MCT.f.0002,40,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 9_1_42FAA,bacteroides_sp._9_1_42faa,MCT.f.0002,318,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__Clostridiales bacterium KLE1615,clostridiales_bacterium_kle1615,MCT.f.0002,81,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis,parabacteroides_distasonis,MCT.f.0002,179,johnson_gut
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella;s__Parasutterella excrementihominis,parasutterella_excrementihominis,MCT.f.0002,137,johnson_gut
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__;s__Burkholderiales bacterium 1_1_47,burkholderiales_bacterium_1_1_47,MCT.f.0002,149,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus faecis,ruminococcus_faecis,MCT.f.0002,24,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 3_1_40A,bacteroides_sp._3_1_40a,MCT.f.0002,138,johnson_gut
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum,bifidobacterium_bifidum,MCT.f.0002,1,johnson_gut
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum,bifidobacterium_catenulatum,MCT.f.0002,21,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp. D13,parabacteroides_sp._d13,MCT.f.0002,104,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. HMSC073E02,bacteroides_sp._hmsc073e02,MCT.f.0002,8,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellamassilia;s__Prevotellamassilia timonensis,prevotellamassilia_timonensis,MCT.f.0002,1,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. D22,bacteroides_sp._d22,MCT.f.0002,220,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. L2-50,clostridium_sp._l2-50,MCT.f.0002,5,johnson_gut
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;NA,akkermansia,MCT.f.0002,19,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. ATCC BAA-442,clostridium_sp._atcc_baa-442,MCT.f.0002,50,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__[Eubacterium] hallii,[eubacterium]_hallii,MCT.f.0002,71,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes timonensis,alistipes_timonensis,MCT.f.0002,59,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides nordii,bacteroides_nordii,MCT.f.0002,516,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 2_2_4,bacteroides_sp._2_2_4,MCT.f.0002,457,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii,parabacteroides_goldsteinii,MCT.f.0002,13,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus,coprococcus_eutactus,MCT.f.0002,3,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis,anaerotruncus_colihominis,MCT.f.0002,63,johnson_gut
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;NA;NA,,MCT.f.0002,38,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sartorii,bacteroides_sartorii,MCT.f.0002,142,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Mediterranea;s__Mediterranea massiliensis,mediterranea_massiliensis,MCT.f.0002,61,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__Blautia massiliensis,blautia_massiliensis,MCT.f.0002,48,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. HMSC068A09,bacteroides_sp._hmsc068a09,MCT.f.0002,12,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 3_1_19,bacteroides_sp._3_1_19,MCT.f.0002,123,johnson_gut
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium kashiwanohense,bifidobacterium_kashiwanohense,MCT.f.0002,18,johnson_gut
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens,collinsella_aerofaciens,MCT.f.0002,94,johnson_gut
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens,adlercreutzia_equolifaciens,MCT.f.0002,54,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. M62/1,clostridium_sp._m62/1,MCT.f.0002,111,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium] bolteae,[clostridium]_bolteae,MCT.f.0002,22,johnson_gut
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp. 4_8_47FAA,collinsella_sp._4_8_47faa,MCT.f.0002,68,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp. 20_3,parabacteroides_sp._20_3,MCT.f.0002,93,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes indistinctus,alistipes_indistinctus,MCT.f.0002,2,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum;s__Subdoligranulum sp. 4_3_54A2FAA,subdoligranulum_sp._4_3_54a2faa,MCT.f.0002,20,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella viscericola,barnesiella_viscericola,MCT.f.0002,6,johnson_gut
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;NA,collinsella,MCT.f.0002,64,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium ramulus,eubacterium_ramulus,MCT.f.0002,28,johnson_gut
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila sp. 4_1_30,bilophila_sp._4_1_30,MCT.f.0002,14,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. HPS0048,bacteroides_sp._hps0048,MCT.f.0002,177,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp. D26,parabacteroides_sp._d26,MCT.f.0002,61,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii,parabacteroides_johnsonii,MCT.f.0002,55,johnson_gut
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 2_1_33B,bacteroides_sp._2_1_33b,MCT.f.0002,81,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__Dorea formicigenerans,dorea_formicigenerans,MCT.f.0002,20,johnson_gut
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__Lachnospiraceae bacterium 3_1_57FAA_CT1,lachnospiraceae_bacterium_3_1_57faa_ct1,MCT.f.0002,10,johnson_gut
